Date	Name	Time	Location	location_URL	Info	info_url
8/30/24	Open gameplay	5:30pm-8:30pm	Fuzzy's Tacos	https://www.google.com/maps/place/Fuzzy's+Taco+Shop/@38.0112086,-78.5041778,12.95z/data=!4m6!3m5!1s0x89b38673301a2629:0x747b4f5c0bc0c802!8m2!3d38.0105475!4d-78.498137!16s%2Fg%2F11g88cbvl9	5th Friday
9/20/24	Open gameplay	5:30pm-8:30pm	Fuzzy's Tacos	https://www.google.com/maps/place/Fuzzy's+Taco+Shop/@38.0112086,-78.5041778,12.95z/data=!4m6!3m5!1s0x89b38673301a2629:0x747b4f5c0bc0c802!8m2!3d38.0105475!4d-78.498137!16s%2Fg%2F11g88cbvl9	3rd Friday
10/4/24	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	1st Friday
10/12/24	Tournament - Autumn 10 at 10	10am-5pm	Jefferson School	https://www.google.com/maps/place/Jefferson+School+City+Center/@38.0316552,-78.4870228,15z/data=!4m6!3m5!1s0x89b3863ad6d1842f:0x6164c7d21ab78051!8m2!3d38.0316552!4d-78.4870228!16s%2Fm%2F0ynx0n6	details and registration	https://www.scrabbleplayers.org/tourneys/listings.html#2024101220241012charlottesville
10/18/24	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	3rd Friday
10/31/24	Tournament - Fall Festival Night Bird	6pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vRku7ijAMFXl-PsEvQJDHNoR-OJp-JcSQqn970Wxz3Ht8krof-TCEs9YuTVX8sCl17lA-rvikxQZgVJ/pub
11/1/24	Tournament - Fall Festival Early Bird	12:30pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vRku7ijAMFXl-PsEvQJDHNoR-OJp-JcSQqn970Wxz3Ht8krof-TCEs9YuTVX8sCl17lA-rvikxQZgVJ/pub
11/2/24	Tournament - Fall Festival Day 1	9:30am-6pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vRku7ijAMFXl-PsEvQJDHNoR-OJp-JcSQqn970Wxz3Ht8krof-TCEs9YuTVX8sCl17lA-rvikxQZgVJ/pub
11/3/24	Tournament - Fall Festival Day 2	8:30am-3:30pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vRku7ijAMFXl-PsEvQJDHNoR-OJp-JcSQqn970Wxz3Ht8krof-TCEs9YuTVX8sCl17lA-rvikxQZgVJ/pub
11/6/24	Scrabble at the Library	5:30pm-7pm	Central Library	https://www.google.com/maps/place/Jefferson-Madison+Regional+Library+Central+Branch/@38.0314297,-78.479936,15z/data=!4m6!3m5!1s0x89b386266f6efe67:0x183eeb62b71b5e80!8m2!3d38.0314297!4d-78.479936!16s%2Fm%2F02nlxcq	presented with JMRL	https://jmrl.org/calendar?date=2024-11-06T17:30:00&eventid=178211816
11/15/24	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	3rd Friday
11/15/24	Tournament - Five Dollar Fridays Night Bird	6pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	details and registration	https://docs.google.com/document/d/e/2PACX-1vQSQniH0CZF09Luk5RL8IMVd0Zn3SswS8YcB2lKnTE18VjgoOXDHxrmTVZ_O0UmA8Mte6vJEjPRE7QC/pub
12/6/24	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	1st Friday
